pipeline	source	protocol	metric	mean	ci_lo	ci_hi	n_targets
blue	af_relaxed	cartesian_beta	clashscore	0.7499	0.7161	0.7837	257
blue	af_relaxed	cartesian_beta	molprobity_score	0.2422	0.2324	0.252	257
blue	af_relaxed	cartesian_beta	rota_outliers	0.0173	0.0125	0.0222	257
blue	af_relaxed	cartesian_beta	rama_favored	98.6302	98.556	98.7043	257
blue	af_relaxed	cartesian_ref15	clashscore	1.4176	1.3658	1.4694	257
blue	af_relaxed	cartesian_ref15	molprobity_score	0.3882	0.3761	0.4003	257
blue	af_relaxed	cartesian_ref15	rota_outliers	0.0154	0.0109	0.0198	257
blue	af_relaxed	cartesian_ref15	rama_favored	98.398	98.3204	98.4755	257
blue	af_relaxed	dualspace_beta	clashscore	0.6882	0.6557	0.7206	257
blue	af_relaxed	dualspace_beta	molprobity_score	0.2259	0.2163	0.2355	257
blue	af_relaxed	dualspace_beta	rota_outliers	0.0157	0.0112	0.0202	257
blue	af_relaxed	dualspace_beta	rama_favored	98.6809	98.6077	98.754	257
blue	af_relaxed	dualspace_ref15	clashscore	1.3292	1.2783	1.3801	257
blue	af_relaxed	dualspace_ref15	molprobity_score	0.3692	0.3576	0.3808	257
blue	af_relaxed	dualspace_ref15	rota_outliers	0.0131	0.0087	0.0175	257
blue	af_relaxed	dualspace_ref15	rama_favored	98.4475	98.3698	98.5253	257
blue	af_relaxed	normal_beta	clashscore	0.657	0.6062	0.7078	257
blue	af_relaxed	normal_beta	molprobity_score	0.2357	0.2219	0.2495	257
blue	af_relaxed	normal_beta	rota_outliers	0.0369	0.0299	0.0439	257
blue	af_relaxed	normal_beta	rama_favored	98.1984	98.1068	98.2901	257
blue	af_relaxed	normal_ref15	clashscore	0.9807	0.9208	1.0406	257
blue	af_relaxed	normal_ref15	molprobity_score	0.333	0.3175	0.3486	257
blue	af_relaxed	normal_ref15	rota_outliers	0.0309	0.0241	0.0378	257
blue	af_relaxed	normal_ref15	rama_favored	97.9131	97.8171	98.0092	257
blue	af_unrelaxed	cartesian_beta	clashscore	0.7557	0.7238	0.7876	257
blue	af_unrelaxed	cartesian_beta	molprobity_score	0.2428	0.2336	0.252	257
blue	af_unrelaxed	cartesian_beta	rota_outliers	0.0253	0.0191	0.0315	257
blue	af_unrelaxed	cartesian_beta	rama_favored	98.6692	98.5977	98.7406	257
blue	af_unrelaxed	cartesian_ref15	clashscore	1.4254	1.3728	1.4779	257
